attraction_name,attraction_url,region
Sheikh Zayed Road,https://www.viator.com/Dubai-attractions/Sheikh-Zayed-Road/d828-a18835,Middle_East_Africa
Medina of Fez (Fes el-Bali),https://www.viator.com/Fez-attractions/Medina-of-Fez/d22151-a19819,Middle_East_Africa
Citadel of Qaitbay (Fort Qaitbey),https://www.viator.com/Alexandria-attractions/Citadel-of-Qaitbay-Fort-Qaitbey/d4376-a21586,Middle_East_Africa
Wadi Shab (Shab Valley),https://www.viator.com/Oman-attractions/Wadi-Shab/d745-a16267,Middle_East_Africa
Aha Lesedi Cultural Village,https://www.viator.com/Johannesburg-attractions/Aha-Lesedi-Cultural-Village/d314-a1655,Middle_East_Africa
Mt. Toubkal (Jebel Toubkal),https://www.viator.com/Marrakech-attractions/Mt-Toubkal/d5408-a20246,Middle_East_Africa
Dades Gorge (Gorges du Dades),https://www.viator.com/Central-Morocco-attractions/Dades-Gorge/d5407-a19773,Middle_East_Africa
Hurghada Grand Aquarium,https://www.viator.com/Hurghada-attractions/Hurghada-Grand-Aquarium/d800-a1840,Middle_East_Africa
Twelve Apostles,https://www.viator.com/Cape-Town-attractions/Twelve-Apostles/d318-a12730,Middle_East_Africa
Oudtshoorn,https://www.viator.com/Garden-Route-attractions/Oudtshoorn/d5613-a17270,Middle_East_Africa
Sultan Qaboos Grand Mosque,https://www.viator.com/Muscat-attractions/Sultan-Qaboos-Grand-Mosque/d4389-a11605,Middle_East_Africa
Duiker Island,https://www.viator.com/Cape-Town-attractions/Duiker-Island/d318-a17885,Middle_East_Africa
Hout Bay,https://www.viator.com/Cape-Town-attractions/Hout-Bay/d318-a12747,Middle_East_Africa
Casablanca Central Market (Marché Central de Casablanca),https://www.viator.com/Casablanca-attractions/Casablanca-Central-Market/d4396-a12350,Middle_East_Africa
St. Catherine's Monastery,https://www.viator.com/Sharm-el-Sheikh-attractions/St-Catherines-Monastery/d827-a1870,Middle_East_Africa
Victoria Falls (Mosi-oa-Tunya),https://www.viator.com/Victoria-Falls-attractions/Victoria-Falls/d5309-a11753,Middle_East_Africa
Clifton,https://www.viator.com/Cape-Town-attractions/Clifton/d318-a12727,Middle_East_Africa
Todra Gorge (Todgha Gorge),https://www.viator.com/Morocco-attractions/Todra-Gorge/d825-a19776,Middle_East_Africa
Valley of the Queens,https://www.viator.com/Luxor-attractions/Valley-of-the-Queens/d826-a22664,Middle_East_Africa
Nizwa,https://www.viator.com/Oman-attractions/Nizwa/d745-a2826,Middle_East_Africa
Roman Amphitheatre,https://www.viator.com/Alexandria-attractions/Roman-Amphitheatre/d4376-a21588,Middle_East_Africa
Catacombs of Kom el Shoqafa,https://www.viator.com/Alexandria-attractions/Catacombs-of-Kom-el-Shoqafa/d4376-a100611,Middle_East_Africa
Marina Mall,https://www.viator.com/Abu-Dhabi-attractions/Marina-Mall/d4474-a18839,Middle_East_Africa
Cradle of Humankind,https://www.viator.com/Johannesburg-attractions/Cradle-of-Humankind/d314-a22072,Middle_East_Africa
Mall of the Emirates,https://www.viator.com/Dubai-attractions/Mall-of-the-Emirates/d828-a18828,Middle_East_Africa
Volubilis,https://www.viator.com/Fez-attractions/Volubilis/d22151-a12357,Middle_East_Africa
Mohammed V Square (Place Mohammed V),https://www.viator.com/Casablanca-attractions/Mohammed-V-Square/d4396-a12351,Middle_East_Africa
Warner Bros. World,https://www.viator.com/Abu-Dhabi-attractions/Warner-Bros-World/d4474-a26878,Middle_East_Africa
La Perle By Dragone,https://www.viator.com/Dubai-attractions/La-Perle-By-Dragone/d828-a28466,Middle_East_Africa
Cango Caves,https://www.viator.com/Garden-Route-attractions/Cango-Caves/d5613-a12751,Middle_East_Africa
Islamic Cairo,https://www.viator.com/Cairo-attractions/Islamic-Cairo/d782-a22272,Middle_East_Africa
Nubian Villages (Siou and Koti),https://www.viator.com/Aswan-attractions/Nubian-Villages-Siou-and-Koti/d796-a1574,Middle_East_Africa
Quartier Habous (New Medina),https://www.viator.com/Casablanca-attractions/Quartier-Habous/d4396-a12353,Middle_East_Africa
Wild Wadi Waterpark,https://www.viator.com/Dubai-attractions/Wild-Wadi-Waterpark/d828-a15449,Middle_East_Africa
Serengeti National Park,https://www.viator.com/Tanzania-attractions/Serengeti-National-Park/d5589-a16801,Middle_East_Africa
Colossus of Ramses II at Memphis,https://www.viator.com/Cairo-attractions/Colossus-of-Ramses-II-at-Memphis/d782-a1499,Middle_East_Africa
Atlas Film Studios,https://www.viator.com/Ouarzazate-attractions/Atlas-Film-Studios/d23956-a21368,Middle_East_Africa
Hell's Gate National Park,https://www.viator.com/Nairobi-attractions/Hells-Gate-National-Park/d5280-a11228,Middle_East_Africa
Tarangire National Park,https://www.viator.com/Tanzania-attractions/Tarangire-National-Park/d5589-a16800,Middle_East_Africa
Hassan Tower (Tour Hassan),https://www.viator.com/Rabat-attractions/Hassan-Tower/d26851-a23478,Middle_East_Africa
Alabaster Mosque (Mosque of Muhammad Ali),https://www.viator.com/Cairo-attractions/Alabaster-Mosque-Mosque-of-Muhammad-Ali/d782-a1496,Middle_East_Africa
