title,rating,review_count,attraction_name,region,tour_count
Dahshur Pyramid Memphis And Sakkara Half Day Tour,4.8,22.0,Saqqara (Sakkara),Middle_East_Africa,1547
"Full-Day Tour to Giza Pyramids, Memphis, and Sakkara",4.7,387.0,Saqqara (Sakkara),Middle_East_Africa,1547
Half Day Tour Giza Pyramids &Great Sphinx with Private Tour Guide,4.9,1441.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Top ViP Private Tour Giza Pyramids, Sphinx,Inside Pyramid",4.8,2271.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Private guided tour to Giza Pyramids, and Great Sphinx",4.9,1613.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Grand Egyptian Museum, Giza Pyramids and Great Sphinx Tour",4.9,52.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Private tour to Giza Pyramids,Sphinx,Egyptian Museum with Local Lunch",4.9,1480.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Private Tour To Giza Pyramids,Sphinx With Entry Inside The Great Pyramid",4.5,84.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Private Giza pyramids,Sphinx,Lunch,Camel & inside the pyramid",5.0,492.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"All-inclusive Private Trip Giza Pyramids Sphinx Saqqara, Dahshur",4.9,504.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"VIP All inclusive Best of the best Giza Pyramids,Sakkara,Memphis",4.8,3118.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Giza pyramids, Sphinx, ATV bike, Lunch,Camel ride, Dinner cruise& shopping tour",5.0,614.0,Sphinx (Great Sphinx of Giza),Middle_East_Africa,2051
"Aswan Day Tour Visiting Philae Temple, Unfinished Obelisk and High Dam in Aswan",4.8,90.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
4-Days Nile Cruise From Aswan To Luxor including Abu Simbel and Hot Air Balloon,4.8,2857.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
Aswan : Philae Temple and High-Dam-Day Tour,4.9,21.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
Philae Temple and Aswan High-Dam Half-day tour,5.0,41.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
Private 2 Hour Guided Tour to Philae Temple from Aswan,4.9,44.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
"4-Day 3-Night Nile Cruise from Aswan to Luxor including Abu Simbel, Air Balloon",4.6,602.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
4-Day Nile Cruise sails Aswan to Luxor&Abu Simbel.Hot air Balloon,4.7,194.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
Aswan tour ( the temple of philae - high dam ),4.5,45.0,Philae Temple (Temple of Isis),Middle_East_Africa,1949
